2020.07.22,福建,364,1,361
2020.07.23,福建,364,1,361
2020.07.24,福建,364,1,361
2020.07.25,福建,365,1,361
2020.07.26,福建,366,1,361
2020.07.27,福建,366,1,361
2020.07.28,福建,366,1,362
2020.07.29,福建,366,1,363
2020.07.30,福建,366,1,363
2020.07.31,福建,366,1,363
2020.08.01,福建,367,1,363
2020.08.02,福建,367,1,363
2020.08.03,福建,367,1,363
2020.08.04,福建,367,1,363
2020.08.05,福建,367,1,363
2020.08.06,福建,367,1,363
2020.08.07,福建,367,1,363
2020.08.08,福建,367,1,363
2020.08.09,福建,367,1,363
2020.08.10,福建,367,1,363
2020.08.11,福建,368,1,363
2020.08.12,福建,368,1,364
2020.08.13,福建,368,1,365
2020.08.14,福建,368,1,365
2020.08.15,福建,369,1,365
2020.08.16,福建,370,1,365
2020.08.17,福建,370,1,365
2020.08.18,福建,370,1,365
2020.08.19,福建,370,1,365
2020.08.20,福建,370,1,365
2020.08.21,福建,371,1,365
2020.08.22,福建,372,1,365
2020.08.23,福建,375,1,365
2020.08.24,福建,375,1,365
2020.08.25,福建,375,1,365
2020.08.26,福建,375,1,366
2020.08.27,福建,376,1,366
2020.08.28,福建,378,1,366
2020.08.29,福建,380,1,366
2020.08.30,福建,382,1,366
2020.08.31,福建,383,1,368
2020.09.01,福建,383,1,369
2020.09.02,福建,383,1,369
2020.09.03,福建,384,1,370
2020.09.04,福建,385,1,370
2020.09.05,福建,386,1,372
2020.09.06,福建,386,1,372
2020.09.07,福建,387,1,372
2020.09.08,福建,387,1,372
2020.09.09,福建,387,1,373
2020.09.10,福建,387,1,374
2020.09.11,福建,388,1,375
2020.09.12,福建,388,1,376
2020.09.13,福建,390,1,376
2020.09.14,福建,390,1,377
2020.09.15,福建,392,1,377
2020.09.16,福建,392,1,377
2020.09.17,福建,393,1,379
2020.09.18,福建,394,1,380
2020.09.19,福建,395,1,380
2020.09.20,福建,396,1,380
2020.09.21,福建,396,1,380
2020.09.22,福建,396,1,381
2020.09.23,福建,396,1,381
2020.09.24,福建,396,1,384
2020.09.25,福建,397,1,385
2020.09.26,福建,401,1,385
2020.09.27,福建,403,1,387
2020.09.28,福建,404,1,387
2020.09.29,福建,409,1,388
2020.09.30,福建,409,1,390
2020.10.01,福建,411,1,390
2020.10.02,福建,411,1,391
2020.10.03,福建,411,1,393
2020.10.04,福建,413,1,394
2020.10.05,福建,413,1,394
2020.10.06,福建,413,1,397
2020.10.06,福建,413,1,397
2020.10.07,福建,414,1,399
2020.10.08,福建,414,1,399
2020.10.09,福建,414,1,400
2020.10.10,福建,415,1,400
2020.10.11,福建,416,1,402
2020.10.12,福建,416,1,406
2020.10.13,福建,416,1,406
2020.10.14,福建,416,1,406
2020.10.15,福建,417,1,406
2020.10.16,福建,417,1,406
2020.10.17,福建,417,1,407
2020.10.18,福建,417,1,409
2020.10.19,福建,418,1,409
2020.10.20,福建,419,1,409
2020.10.21,福建,420,1,409
2020.10.22,福建,427,1,409
2020.10.23,福建,429,1,409
2020.10.24,福建,429,1,410
2020.10.25,福建,430,1,410
2020.10.26,福建,431,1,410
2020.10.27,福建,431,1,410
